audio_file,speaker_id,gender,roman_urdu_english,nastaliq_urdu_english,english_translation,sample_rate,duration_s,rms_energy,speech_pct,issues,processed_path,word_count
001.wav,S01,Female,Aaj ki meeting ka agenda kya hai?,آج کی meeting کا agenda کیا ہے؟,What is today's meeting agenda?,16000,3.44,0.1081,77.7,OK,Audios_Processed\001.wav,7
002.wav,S01,Female,Yeh project ki deadline extend nahi ho sakti.,یہ project کی deadline extend نہیں ہو سکتی۔,This project's deadline cannot be extended.,16000,3.42,0.1289,81.3,OK,Audios_Processed\002.wav,8
003.wav,S01,Female,Report submit karne se pehle manager ko review karwa lo.,Report submit کرنے سے پہلے manager کو review کروا لو۔,Get the report reviewed by the manager before submitting.,16000,4.0,0.1176,88.0,OK,Audios_Processed\003.wav,10
004.wav,S01,Female,Client ne feedback diya hai ke design approve nahi hua.,Client نے feedback دیا ہے کہ design approve نہیں ہوا۔,The client has given feedback that the design was not approved.,16000,3.86,0.115,83.8,OK,Audios_Processed\004.wav,10
005.wav,S01,Female,Kal tak yeh presentation ready honi chahiye.,کل تک یہ presentation ready ہونی چاہیے۔,This presentation should be ready by tomorrow.,16000,3.18,0.1267,84.9,OK,Audios_Processed\005.wav,7
006.wav,S01,Female,Team ko yeh task assign kar do aur progress track karte raho.,Team کو یہ task assign کر دو اور progress track کرتے رہو۔,Assign this task to the team and keep tracking the progress.,16000,4.54,0.1298,83.2,OK,Audios_Processed\006.wav,12
007.wav,S01,Female,"Budget ka issue hai, finance department se confirm karo.",Budget کا issue ہے، finance department سے confirm کرو۔,"There is a budget issue, confirm with the finance department.",16000,3.56,0.1097,88.3,OK,Audios_Processed\007.wav,9
008.wav,S01,Female,Yeh research paper ka methodology section weak hai.,یہ research paper کا methodology section weak ہے۔,The methodology section of this research paper is weak.,16000,3.56,0.1118,89.2,OK,Audios_Processed\008.wav,8
009.wav,S01,Female,Literature review mein relevant sources cite nahi kiye gaye.,Literature review میں relevant sources cite نہیں کیے گئے۔,Relevant sources were not cited in the literature review.,16000,4.2,0.1559,87.7,OK,Audios_Processed\009.wav,9
010.wav,S01,Female,Data collection ke liye kitna time chahiye?,Data collection کے لیے کتنا time چاہیے؟,How much time is needed for data collection?,16000,3.56,0.1152,80.0,OK,Audios_Processed\010.wav,7
011.wav,S02,Male,Supervisor ne thesis ka first draft reject kar diya.,Supervisor نے thesis کا first draft reject کر دیا۔,The supervisor rejected the first draft of the thesis.,16000,3.8,0.1354,87.6,OK,Audios_Processed\011.wav,9
012.wav,S02,Male,Yeh algorithm ki time complexity bohat zyada hai.,یہ algorithm کی time complexity بہت زیادہ ہے۔,The time complexity of this algorithm is very high.,16000,3.5,0.1432,91.5,OK,Audios_Processed\012.wav,8
013.wav,S02,Male,Experiment ke results expected outcomes se match nahi kar rahe.,Experiment کے results expected outcomes سے match نہیں کر رہے۔,The experiment results are not matching the expected outcomes.,16000,4.24,0.122,82.3,OK,Audios_Processed\013.wav,10
014.wav,S02,Male,Conference mein paper present karne ka moqa mila hai.,Conference میں paper present کرنے کا موقع ملا ہے۔,An opportunity to present the paper at the conference has been received.,16000,2.9,0.1496,96.7,OK,Audios_Processed\014.wav,9
015.wav,S02,Male,"System ka server down hai, IT department ko inform karo.",System کا server down ہے، IT department کو inform کرو۔,"The system server is down, inform the IT department.",16000,5.22,0.1203,69.3,OK,Audios_Processed\015.wav,10
