audio_file,speaker_id,gender,ground_truth_roman,ground_truth_nastaliq,ground_truth_english,whisper_english,detected_language,bleu_score,chrf_score,processing_time_s,status
001.wav,S01,Female,Aaj ki meeting ka agenda kya hai?,آج کی meeting کا agenda کیا ہے؟,What is today's meeting agenda?,What is the agenda of today's meeting?,ur,17.29,75.46,37.27,OK
002.wav,S01,Female,Yeh project ki deadline extend nahi ho sakti.,یہ project کی deadline extend نہیں ہو سکتی۔,This project's deadline cannot be extended.,This project's deadline cannot be extended.,hi,100.0,100.0,37.3,OK
003.wav,S01,Female,Report submit karne se pehle manager ko review karwa lo.,Report submit کرنے سے پہلے manager کو review کروا لو۔,Get the report reviewed by the manager before submitting.,"Before submitting the report, get the manager to review it.",hi,10.6,67.29,37.59,OK
004.wav,S01,Female,Client ne feedback diya hai ke design approve nahi hua.,Client نے feedback دیا ہے کہ design approve نہیں ہوا۔,The client has given feedback that the design was not approved.,The client has given feedback that the design was not approved.,hi,100.0,100.0,36.43,OK
005.wav,S01,Female,Kal tak yeh presentation ready honi chahiye.,کل تک یہ presentation ready ہونی چاہیے۔,This presentation should be ready by tomorrow.,"Till tomorrow, this presentation should be ready.",hi,33.03,81.95,37.12,OK
006.wav,S01,Female,Team ko yeh task assign kar do aur progress track karte raho.,Team کو یہ task assign کر دو اور progress track کرتے رہو۔,Assign this task to the team and keep tracking the progress.,Assign this task to the team and track the progress.,hi,64.07,76.7,37.53,OK
007.wav,S01,Female,"Budget ka issue hai, finance department se confirm karo.",Budget کا issue ہے، finance department سے confirm کرو۔,"There is a budget issue, confirm with the finance department.",The issue of budget is to confirm with the finance department.,hi,46.17,78.1,37.62,OK
008.wav,S01,Female,Yeh research paper ka methodology section weak hai.,یہ research paper کا methodology section weak ہے۔,The methodology section of this research paper is weak.,This is the methodology section of the research paper.,ur,21.36,76.36,37.97,OK
009.wav,S01,Female,Literature review mein relevant sources cite nahi kiye gaye.,Literature review میں relevant sources cite نہیں کیے گئے۔,Relevant sources were not cited in the literature review.,Relevant sources were not cited in literature review.,hi,66.9,89.17,36.98,OK
010.wav,S01,Female,Data collection ke liye kitna time chahiye?,Data collection کے لیے کتنا time چاہیے؟,How much time is needed for data collection?,How much time do you need for data collection?,hi,37.99,78.78,36.83,OK
011.wav,S02,Male,Supervisor ne thesis ka first draft reject kar diya.,Supervisor نے thesis کا first draft reject کر دیا۔,The supervisor rejected the first draft of the thesis.,Supervisor rejected the first draft of thesis,hi,41.92,83.05,36.81,OK
012.wav,S02,Male,Yeh algorithm ki time complexity bohat zyada hai.,یہ algorithm کی time complexity بہت زیادہ ہے۔,The time complexity of this algorithm is very high.,This is the time complexity of this algorithm.,hi,43.44,75.32,116.39,OK
013.wav,S02,Male,Experiment ke results expected outcomes se match nahi kar rahe.,Experiment کے results expected outcomes سے match نہیں کر رہے۔,The experiment results are not matching the expected outcomes.,The result of the experiment is not matching with the expected outcome.,hi,10.05,71.69,38.28,OK
014.wav,S02,Male,Conference mein paper present karne ka moqa mila hai.,Conference میں paper present کرنے کا موقع ملا ہے۔,An opportunity to present the paper at the conference has been received.,I got the chance to present the paper in confidence.,hi,21.65,40.21,37.44,OK
015.wav,S02,Male,"System ka server down hai, IT department ko inform karo.",System کا server down ہے، IT department کو inform کرو۔,"The system server is down, inform the IT department.",system server is down inform IT department,hi,28.7,71.01,37.5,OK
016.wav,S02,Male,Yeh bug fix hone mein kam az kam do ghante lagenge.,یہ bug fix ہونے میں کم از کم دو گھنٹے لگیں گے۔,This bug will take at least two hours to fix.,It will take at least 2 hours to fix this bug,hi,35.08,70.91,36.95,OK
017.wav,S02,Male,Database backup lena mat bhoolna.,Database backup لینا مت بھولنا۔,Do not forget to take a database backup.,Don't forget to take database backup,hi,23.04,75.81,38.0,OK
018.wav,S02,Male,Software ka latest version install kar lo.,Software کا latest version install کر لو۔,Install the latest version of the software.,install latest version of software,hi,23.45,64.33,36.64,OK
019.wav,S02,Male,Network connectivity issue ki wajah se kaam ruk gaya hai.,Network connectivity issue کی وجہ سے کام رک گیا ہے۔,Work has stopped due to a network connectivity issue.,Network connectivity issue has stopped the work.,hi,12.86,70.02,38.48,OK
020.wav,S02,Male,Code review ke baad pull request merge karenge.,Code review کے بعد pull request merge کریں گے۔,We will merge the pull request after the code review.,"After code review, pull request will be merged.",hi,11.88,53.68,38.18,OK
021.wav,S03,Female,Doctor ne complete bed rest aur proper diet recommend ki hai.,Doctor نے complete bed rest اور proper diet recommend کی ہے۔,The doctor has recommended complete bed rest and a proper diet.,Doctor has given complete bed rest and proper diet.,hi,32.16,61.52,37.89,OK
022.wav,S03,Female,Yeh test results normal range mein nahi hain.,یہ test results normal range میں نہیں ہیں۔,These test results are not within the normal range.,The test results are not in the normal range.,ur,52.54,78.14,38.03,OK
023.wav,S03,Female,Appointment reschedule karni paregi.,Appointment reschedule کرنی پڑے گی۔,The appointment will have to be rescheduled.,Appointment is scheduled.,hi,5.88,46.21,37.23,OK
024.wav,S03,Female,Insurance claim process karne mein waqt lagta hai.,Insurance claim process کرنے میں وقت لگتا ہے۔,Processing an insurance claim takes time.,It takes time to process the insurance claim.,hi,14.26,63.28,38.38,OK
025.wav,S03,Female,"Emergency case hai, immediately hospital jana hoga.",Emergency case ہے، immediately hospital جانا ہوگا۔,"It is an emergency case, we will have to go to the hospital immediately.","There is an emergency case, I will have to go to the hospital immediately.",ur,74.48,88.33,40.08,OK
026.wav,S03,Female,Yeh investment ka return on investment kaafi low hai.,یہ investment کا return on investment کافی low ہے۔,The return on investment of this investment is quite low.,The return on investment is very low.,hi,31.05,53.57,38.23,OK
027.wav,S03,Female,Tax filing ki last date qareeb aa rahi hai.,Tax filing کی last date قریب آ رہی ہے۔,The last date for tax filing is approaching.,The last date of tax billing is coming soon.,hi,18.58,43.29,39.32,OK
028.wav,S03,Female,Contract ki terms and conditions dobara review karni parein gi.,Contract کی terms and conditions دوبارہ review کرنی پڑیں گی۔,The terms and conditions of the contract will need to be reviewed again.,We will have to review the terms and conditions of the contract again.,hi,41.61,69.71,38.42,OK
029.wav,S03,Female,Profit margin is quarter mein significantly kam hui hai.,Profit margin اس quarter میں significantly کم ہوئی ہے۔,The profit margin has decreased significantly this quarter.,Profit margins have significantly decreased in this quarter.,hi,20.16,71.64,37.01,OK
030.wav,S03,Female,Vendor ke saath payment dispute resolve nahi hua abhi tak.,Vendor کے ساتھ payment dispute resolve نہیں ہوا ابھی تک۔,The payment dispute with the vendor has not been resolved yet.,The payment dispute with the vendor has not been resolved yet,hi,91.31,98.38,37.06,OK
031.wav,S04,Female,"Aaj ka lecture cancel ho gaya hai, notice board check karo.",آج کا lecture cancel ہو گیا ہے، notice board check کرو۔,"Today's lecture has been cancelled, check the notice board.",Today's lecture is cancelled. Check your notice board.,hi,18.6,61.06,37.47,OK
032.wav,S04,Female,"Assignment ka word limit exceed ho gaya hai, trim karna parega.",Assignment کا word limit exceed ہو گیا ہے، trim کرنا پڑے گا۔,"The assignment's word limit has been exceeded, it will need to be trimmed.","Assignment word limit has exceeded, we will have to trim it",hi,13.88,48.4,37.64,OK
033.wav,S04,Female,Semester ke aakhir mein GPA improve karna mushkil hota hai.,Semester کے آخر میں GPA improve کرنا مشکل ہوتا ہے۔,It is difficult to improve GPA at the end of the semester.,It is difficult to improve GPA at the end of the semester.,hi,100.0,100.0,38.93,OK
034.wav,S04,Female,Professor ne extra credit ka option diya hai.,Professor نے extra credit کا option دیا ہے۔,The professor has given the option of extra credit.,The professor has given the option of extra credit.,hi,100.0,100.0,36.58,OK
035.wav,S04,Female,Online portal par result upload ho gaya hai.,Online portal پر result upload ہو گیا ہے۔,The result has been uploaded on the online portal.,Result has been uploaded on online portal,hi,31.85,75.87,38.17,OK
036.wav,S04,Female,Yeh course ka syllabus bohat demanding hai.,یہ course کا syllabus بہت demanding ہے۔,The syllabus of this course is very demanding.,This course syllabus is very demanding.,hi,34.19,74.58,37.8,OK
037.wav,S04,Female,Group project mein sab ka equal contribution hona chahiye.,Group project میں سب کا equal contribution ہونا چاہیے۔,Everyone should have equal contribution in the group project.,Group projects should have equal contribution.,hi,28.32,68.77,37.43,OK
038.wav,S04,Female,Exam ki preparation ke liye past papers solve karo.,Exam کی preparation کے لیے past papers solve کرو۔,Solve past papers to prepare for the exam.,Solve the pass paper for exam preparation.,hi,7.29,42.7,38.42,OK
039.wav,S04,Female,Library mein reference books available nahi hain.,Library میں reference books available نہیں ہیں۔,Reference books are not available in the library.,Reference books are not available in the library.,ur,100.0,100.0,37.58,OK
040.wav,S04,Female,Scholarship ke liye apply karne ki deadline kal hai.,Scholarship کے لیے apply کرنے کی deadline کل ہے۔,The deadline to apply for the scholarship is tomorrow.,The deadline for applying for the scholarship is tomorrow.,hi,58.14,82.42,37.36,OK
041.wav,S05,Female,Loan application process mein kaafi documentation lagti hai.,Loan application process میں کافی documentation لگتی ہے۔,A lot of documentation is required in the loan application process.,Loan application process requires a lot of documentation.,hi,16.74,74.45,35.13,OK
042.wav,S05,Female,Account ki transaction history review karni hogi.,Account کی transaction history review کرنی ہوگی۔,The transaction history of the account will need to be reviewed.,You will have to review the transaction history of the account.,hi,35.66,68.89,35.15,OK
043.wav,S05,Female,Foreign exchange rate aaj bohat unfavorable hai.,Foreign exchange rate آج بہت unfavorable ہے۔,The foreign exchange rate is very unfavorable today.,Foreign exchange rate is unfavorable today.,hi,30.9,77.65,36.74,OK
044.wav,S05,Female,Investment portfolio diversify karna risk kam karta hai.,Investment portfolio diversify کرنا risk کم کرتا ہے۔,Diversifying the investment portfolio reduces risk.,and diversify the investment portfolio.,hi,27.48,61.44,34.76,OK
045.wav,S05,Female,Credit score improve kiye baghair mortgage milna mushkil hai.,Credit score improve کیے بغیر mortgage ملنا مشکل ہے۔,It is difficult to get a mortgage without improving the credit score.,It is difficult to get a mortgage without improving the credit score.,ur,100.0,100.0,36.64,OK
046.wav,S05,Female,Online banking portal par suspicious activity flag hui hai.,Online banking portal پر suspicious activity flag ہوئی ہے۔,Suspicious activity has been flagged on the online banking portal.,Suspicious activity has been flagged on online banking portal,hi,59.87,89.27,36.39,OK
047.wav,S05,Female,"Yeh decision data driven hona chahiye, assumptions par nahi.",یہ decision data driven ہونا چاہیے، assumptions پر نہیں۔,"This decision should be data driven, not based on assumptions.","This decision should be on data driven, not on assumptions.",hi,52.17,80.91,36.38,OK
048.wav,S05,Female,Stakeholders ko regular updates dete rehna communication gap khatam karta hai.,Stakeholders کو regular updates دیتے رہنا communication gap ختم کرتا ہے۔,Giving regular updates to stakeholders eliminates the communication gap.,"Keep giving regular updates to the Take Holders, it ends the communication gap.",hi,23.79,68.67,37.77,OK
049.wav,S05,Female,Problem solving ke liye root cause analysis zaroori hai.,Problem solving کے لیے root cause analysis ضروری ہے۔,Root cause analysis is necessary for problem solving.,Root cause analysis is necessary for problem solving.,hi,100.0,100.0,37.95,OK
050.wav,S05,Female,Long term planning ke baghair short term wins meaningless hain.,Long term planning کے بغیر short term wins meaningless ہیں۔,Short term wins are meaningless without long term planning.,Short term wins are meaningless without long term planning.,hi,100.0,100.0,34.31,OK
051.wav,S06,Female,Aaj ki meeting ka agenda kya hai?,آج کی meeting کا agenda کیا ہے؟,What is today's meeting agenda?,What is the agenda of today's meeting?,hi,17.29,75.46,37.23,OK
052.wav,S06,Female,Yeh project ki deadline extend nahi ho sakti.,یہ project کی deadline extend نہیں ہو سکتی۔,This project's deadline cannot be extended.,This project's deadline cannot be extended.,hi,100.0,100.0,32.29,OK
053.wav,S06,Female,Report submit karne se pehle manager ko review karwa lo.,Report submit کرنے سے پہلے manager کو review کروا لو۔,Get the report reviewed by the manager before submitting.,"Before submitting the report, get the manager to review it.",ur,10.6,67.29,37.2,OK
054.wav,S06,Female,Client ne feedback diya hai aur design approve nahi hua.,Client نے feedback دیا ہے اور design approve نہیں ہوا۔,The client has given feedback and the design was not approved.,The client has given the feedback and the design has not been approved.,ur,40.02,80.19,37.97,OK
055.wav,S06,Female,Team ko yeh task assign kar do aur progress track karte raho.,Team کو یہ task assign کر دو اور progress track کرتے رہو۔,Assign this task to the team and keep tracking the progress.,Assign this task to the team and keep tracking the progress.,hi,100.0,100.0,39.31,OK
056.wav,S06,Female,"Budget ka issue hai, finance department se confirm karo.",Budget کا issue ہے، finance department سے confirm کرو۔,"There is a budget issue, confirm with the finance department.",Confirm the issue of budget from finance department,hi,8.42,52.68,37.46,OK
057.wav,S06,Female,Kal tak yeh presentation ready honi chahiye.,کل تک یہ presentation ready ہونی چاہیے۔,This presentation should be ready by tomorrow.,This presentation should be ready by tomorrow.,ur,100.0,100.0,36.12,OK
058.wav,S06,Female,Main abhi urgent task ke liye office ja rahi hun.,میں ابھی urgent task کے لیے office جا رہی ہوں۔,I am going to the office right now for an urgent task.,I am going to office for urgent task,ur,23.65,51.09,35.77,OK
059.wav,S06,Female,Manager ne kaha hai ke project deadline extend nahi hogi.,Manager نے کہا ہے کہ project deadline extend نہیں ہوگی۔,The manager has said that the project deadline will not be extended.,The manager has said that the project deadline will not be extended.,ur,100.0,100.0,37.37,OK
060.wav,S06,Female,Agar tum bimar ho toh leave le lo.,اگر تم بیمار ہو تو leave لے لو۔,"If you are sick, take a leave.","If you are sick, take a leave.",ur,100.0,100.0,36.7,OK
